day,month,cmaq_x,cmaq_y,elev,pd,nldas_pressfc,nldas_ugrd10m,nldas_vgrd10m,nldas_tmp2m,nldas_rh2m,nldas_dswrfsfc,nldas_pcpsfc,gc_aod,pm25_value
2,1,-76.9389267,-12.1812973,188.666666666667,24520,83852.8431829026,-1.05569583203775,0.270539660875002,289.459162847544,73.72994,117.041245776375,0,0.1218755,
2,1,-77.2767715,-11.7586164,0.0,6,93227.3370323016,-1.32024668653051,1.4710086746741,291.827821002217,81.02162,117.792938215613,0,0.12869880462712,
2,1,-76.8634033,-11.7586164,1452.9,13,76706.3776512522,-0.567979752111724,0.003421980525176,286.096347415048,69.33742,117.522043978188,0,0.144,
2,1,-77.2717438,-11.6866713,0.0,7,89857.4647821533,-1.19639827370407,1.1257688665723,290.604770887118,74.08627,117.876007313144,0,0.132423892143528,
2,1,-77.0697098,-11.6866713,709.083333333333,1,78801.3317003979,-0.654136490536929,0.215362410588372,286.70912476276,70.92204,117.667138559669,0,0.054,
2,1,-76.8584824,-11.6866713,1017.58333333333,1,75539.6552184622,-0.484439129747815,-0.0334598631977849,285.552422884635,69.33742,117.583781808524,0,0.184842,
2,1,-76.7348404,-11.8935146,1547.22222222222,0,77631.3153861887,-0.68038022571218,-0.066272340448158,286.709946372789,69.60659,117.380152922806,0,0.1940975,
2,1,-76.9370346,-11.8935146,1053.11111111111,0,79725.3755864631,-0.763251307808024,0.140820078575123,287.455571846318,70.37093,117.362190318236,0,0.0875,
2,1,-77.1484146,-11.8935146,14.8888888888889,51,83448.9381611689,-0.875293022557322,0.584725712787586,288.638045693526,73.38603,117.393434465492,0,0.1208775,
2,1,-77.0711365,-12.100359,23.9,22338,84669.6366789612,-0.986742363287388,0.557767088296163,289.475989179827,75.86483,117.076346952855,0,0.118,
2,1,-76.8595963,-12.100359,495.8,972,82173.1297413727,-0.982172919520941,0.124211947521233,288.776813104014,72.43748,117.139855016483,0,0.11,
2,1,-76.6572495,-12.100359,1575.7,0,80257.7950131265,-0.925438697484879,-0.104341999452054,288.11957824736,70.89309,117.139057534995,0,0.0705,
2,1,-76.7270508,-12.3072023,526.666666666667,2,83403.1886721869,-1.14819122227792,0.0021200559627272,289.56062708591,72.55329,117.060837503602,0,0.1205,
2,1,-76.9387589,-12.3072023,0.0,5,90117.662127041,-1.06691471230625,1.36156075856014,291.40679412881,74.84043,116.837526951745,0,0.161984029208597,
2,1,-76.8616867,-12.5140457,0.0,1,96005.0693434247,-0.989980396808859,2.58576911929023,292.924884744688,86.22164,117.268054379094,0,0.120849247750419,
2,1,-76.8597183,-12.4870663,0.0,1,95949.8319316621,-0.992350406829301,2.56922283061955,292.912219268698,86.22164,117.258892866828,0,0.120849247750419,
2,1,-76.7584,-12.4870663,17.75,11,93604.4490233485,-1.07834452550359,1.92136104186476,292.216852400922,84.35614,117.636562128212,0,0.1185,
2,1,-76.6315536,-12.3881416,904.222222222222,0,83059.0356054362,-1.1421322234331,-0.0538116975667017,289.455249617097,72.4858,117.088607712924,0,0.104,
2,1,-76.7328415,-12.3881416,182.0,3,84402.8542327764,-1.16988985337009,0.134340724795542,289.890490262143,73.26089,117.090550519236,0,0.136,
2,1,-76.8341217,-12.3881416,0.0,263,93443.4751965093,-1.04526484207961,1.99259996422079,292.314083109595,85.44763,116.94705351706,0,0.131123779037203,
